text,start,destination,start_surface,destination_surface,source_type,context_type,split
DMC역 에서 수서약 까지 제일 쉬운 길 알려줘,디지털미디어시티역,수서역,DMC역,수서약,all_noisy_station_surface,route_search,train
왕십리력 에서 가락시장역이 까지 제일 쉬운 길 알려줘,왕십리역,가락시장역,왕십리력,가락시장역이,all_noisy_station_surface,route_search,train
영등포 역 에서 노량진 역 까지 막차 끊겼나요,영등포역,노량진역,영등포 역,노량진 역,all_noisy_station_surface,last_train_check,train
도곡약 까지 가야 하는데 사당약 에서 어떻게 가요,사당역,도곡역,사당약,도곡약,all_noisy_station_surface,route_search,train
뚝섬역이 에서 사당에 까지 어떻게 가나요,뚝섬역,사당역,뚝섬역이,사당에,all_noisy_station_surface,route_search,train
사당 여기 에서 서울력 까지 택시 말고 가는 방법 있어,사당역,서울역,사당 여기,서울력,all_noisy_station_surface,alternative_route,train
녹사 평 에서 둔촌동역이 까지 제일 쉬운 길 알려줘,녹사평역,둔촌동역,녹사 평,둔촌동역이,all_noisy_station_surface,route_search,train
복정에 에서 문정력 까지 막차 끊겼으면 어떻게 가,복정역,문정역,복정에,문정력,all_noisy_station_surface,alternative_route,train
망원역이 에서 사당역이 까지 지하철 운행 중이야,망원역,사당역,망원역이,사당역이,all_noisy_station_surface,subway_availability_check,train
방이에 에서 장지에 까지 막차 끊겼나요,방이역,장지역,방이에,장지에,all_noisy_station_surface,last_train_check,train
까치산약 에서 미아사거리약 까지 지하철 운행 중이야,까치산역,미아사거리역,까치산약,미아사거리약,all_noisy_station_surface,subway_availability_check,train
동대문역사문화공원역이 에서 강동 여기 까지 마지막 지하철 있어,동대문역사문화공원역,강동역,동대문역사문화공원역이,강동 여기,all_noisy_station_surface,last_train_check,train
우장산에 에서 아현 역 까지 막차 남았어,우장산역,아현역,우장산에,아현 역,all_noisy_station_surface,last_train_check,train
명동 에서 이촌에 까지 지하철 없으면 버스로 갈 수 있어요,명동역,이촌역,명동,이촌에,all_noisy_station_surface,alternative_route,train
구파 발 에서 성수 역 까지 택시 말고 가는 방법 있어,구파발역,성수역,구파 발,성수 역,all_noisy_station_surface,alternative_route,train
신설동 에서 고속 터미널 까지 막차 남았어,신설동역,고속터미널역,신설동,고속 터미널,all_noisy_station_surface,last_train_check,train
독립 문역 에서 성수력 까지 가는 길 알려줘,독립문역,성수역,독립 문역,성수력,all_noisy_station_surface,route_search,train
청량리 역 에서 마곡에 까지 막차 끊겼나요,청량리역,마곡역,청량리 역,마곡에,all_noisy_station_surface,last_train_check,train
월드컵경기장력 에서 명동에 까지 막차 끊겼으면 어떻게 가,월드컵경기장역,명동역,월드컵경기장력,명동에,all_noisy_station_surface,alternative_route,train
학여울역이 에서 출발해서 강동약 까지 가고 싶어요,학여울역,강동역,학여울역이,강동약,all_noisy_station_surface,route_search,train
지금 서월역 에서 홍대입고 까지 막차 탈 수 있어,서울역,홍대입구역,서월역,홍대입고,all_noisy_station_surface,last_train_check,train
홍대입구 에서 숙대 입고 여기 까지 제일 쉬운 길 알려줘,홍대입구역,숙대입구역,홍대입구,숙대 입고 여기,all_noisy_station_surface,route_search,train
한강진 여기 에서 안국력 까지 택시 말고 가는 방법 있어,한강진역,안국역,한강진 여기,안국력,all_noisy_station_surface,alternative_route,train
천호 역 까지 가야 하는데 건대입구 여기 에서 어떻게 가요,건대입구역,천호역,건대입구 여기,천호 역,all_noisy_station_surface,route_search,train
서울 역 방향 막차 사당 역 에서 탈 수 있나요,사당역,서울역,사당 역,서울 역,all_noisy_station_surface,last_train_check,train
연신 내 에서 오목교역이 까지 가는 길 알려줘,연신내역,오목교역,연신 내,오목교역이,all_noisy_station_surface,route_search,train
혜화력 에서 홍대입구 여기 까지 다른 방법 알려줘,혜화역,홍대입구역,혜화력,홍대입구 여기,all_noisy_station_surface,alternative_route,train
강남 에서 숙대 입국역 까지 제일 쉬운 길 알려줘,강남역,숙대입구역,강남,숙대 입국역,all_noisy_station_surface,route_search,train
강동력 에서 상봉력 까지 택시 말고 가는 방법 있어,강동역,상봉역,강동력,상봉력,all_noisy_station_surface,alternative_route,train
회현 여기 에서 역삼역이 까지 지하철 운행 중이야,회현역,역삼역,회현 여기,역삼역이,all_noisy_station_surface,subway_availability_check,train
이태원에 에서 광화문 역 까지 지금 지하철 탈 수 있어,이태원역,광화문역,이태원에,광화문 역,all_noisy_station_surface,subway_availability_check,train
지금 홍대입구 여기 에서 숙대 이꾸역 까지 막차 탈 수 있어,홍대입구역,숙대입구역,홍대입구 여기,숙대 이꾸역,all_noisy_station_surface,last_train_check,train
이태원역이 에서 학여울에 까지 마지막 지하철 있어,이태원역,학여울역,이태원역이,학여울에,all_noisy_station_surface,last_train_check,train
안국 역 에서 압구정로데오 역 까지 막차 남았어,안국역,압구정로데오역,안국 역,압구정로데오 역,all_noisy_station_surface,last_train_check,train
구파발에 에서 방이역이 까지 지하철 운행 중이야,구파발역,방이역,구파발에,방이역이,all_noisy_station_surface,subway_availability_check,train
홍제 여기 에서 이태 원 까지 제일 쉬운 길 알려줘,홍제역,이태원역,홍제 여기,이태 원,all_noisy_station_surface,route_search,train
여의도 여기 부터 수유 여기 까지 대중교통 알려줘,여의도역,수유역,여의도 여기,수유 여기,all_noisy_station_surface,route_search,train
양재에 에서 마곡약 까지 막차 남았어,양재역,마곡역,양재에,마곡약,all_noisy_station_surface,last_train_check,train
시청 여기 에서 숙대 입고 여기 까지 제일 쉬운 길 알려줘,시청역,숙대입구역,시청 여기,숙대 입고 여기,all_noisy_station_surface,route_search,train
사당역이 에서 문정 여기 까지 막차 끊겼나요,사당역,문정역,사당역이,문정 여기,all_noisy_station_surface,last_train_check,train
삼성 역 에서 잠실 까지 제일 쉬운 길 알려줘,삼성역,잠실역,삼성 역,잠실,all_noisy_station_surface,route_search,train
지금 을지로입고 에서 서울 녁 까지 막차 탈 수 있어,을지로입구역,서울역,을지로입고,서울 녁,all_noisy_station_surface,last_train_check,train
시청 여기 에서 복정약 까지 제일 쉬운 길 알려줘,시청역,복정역,시청 여기,복정약,all_noisy_station_surface,route_search,train
수유 에서 문정 여기 까지 마지막 지하철 있어,수유역,문정역,수유,문정 여기,all_noisy_station_surface,last_train_check,train
서울 여기 에서 홍대입구 역 까지 제일 쉬운 길 알려줘,서울역,홍대입구역,서울 여기,홍대입구 역,all_noisy_station_surface,route_search,train
왕십리역이 에서 가락시장에 까지 가고 싶어요,왕십리역,가락시장역,왕십리역이,가락시장에,all_noisy_station_surface,route_search,train
종로3가력 에서 까치산력 까지 지하철 운행 중이야,종로3가역,까치산역,종로3가력,까치산력,all_noisy_station_surface,subway_availability_check,train
방이에 에서 서을역 까지 막차 끊겼으면 어떻게 가,방이역,서울역,방이에,서을역,all_noisy_station_surface,alternative_route,train
서울대 이꾸역 에서 가산디지털단지 역 까지 막차 끊겼나요,서울대입구역,가산디지털단지역,서울대 이꾸역,가산디지털단지 역,all_noisy_station_surface,last_train_check,train
종합운동장 여기 에서 오금 여기 까지 환승 적은 경로 알려줘,종합운동장역,오금역,종합운동장 여기,오금 여기,all_noisy_station_surface,route_search,train
홍대입구 역 까지 가야 하는데 서울 역 에서 어떻게 가요,서울역,홍대입구역,서울 역,홍대입구 역,all_noisy_station_surface,route_search,train
구로디지털 단지역 에서 잠실새내력 까지 가는 길 알려줘,구로디지털단지역,잠실새내역,구로디지털 단지역,잠실새내력,all_noisy_station_surface,route_search,train
종합 운동장 에서 강동 까지 마지막 지하철 있어,종합운동장역,강동역,종합 운동장,강동,all_noisy_station_surface,last_train_check,train
홍제약 에서 아현 까지 지하철 운행 중이야,홍제역,아현역,홍제약,아현,all_noisy_station_surface,subway_availability_check,train
안국역이 에서 디지털미디어시티에 까지 막차 끊겼나요,안국역,디지털미디어시티역,안국역이,디지털미디어시티에,all_noisy_station_surface,last_train_check,train
개봉에 부터 애오개에 까지 대중교통 알려줘,개봉역,애오개역,개봉에,애오개에,all_noisy_station_surface,route_search,train
상봉약 에서 상수 여기 까지 환승 적은 경로 알려줘,상봉역,상수역,상봉약,상수 여기,all_noisy_station_surface,route_search,train
이촌 여기 에서 압구정로데오에 까지 막차 끊겼나요,이촌역,압구정로데오역,이촌 여기,압구정로데오에,all_noisy_station_surface,last_train_check,train
숙대입구 역 까지 가야 하는데 사울역 에서 어떻게 가요,서울역,숙대입구역,사울역,숙대입구 역,all_noisy_station_surface,route_search,train
가락시장 역 에서 신설동역이 까지 막차 끊겼나요,가락시장역,신설동역,가락시장 역,신설동역이,all_noisy_station_surface,last_train_check,train
삼성약 에서 봉은사력 까지 지하철 운행 중이야,삼성역,봉은사역,삼성약,봉은사력,all_noisy_station_surface,subway_availability_check,train
구파발역이 에서 을지로입구 까지 가는 길 알려줘,구파발역,을지로입구역,구파발역이,을지로입구,all_noisy_station_surface,route_search,train
가산디지털단지력 에서 망원 역 까지 환승 적은 경로 알려줘,가산디지털단지역,망원역,가산디지털단지력,망원 역,all_noisy_station_surface,route_search,train
강동 에서 송파 여기 까지 지하철 없으면 버스로 갈 수 있어요,강동역,송파역,강동,송파 여기,all_noisy_station_surface,alternative_route,train
시청력 에서 숙대 입고 까지 어떻게 가나요,시청역,숙대입구역,시청력,숙대 입고,all_noisy_station_surface,route_search,train
고속터미널역이 에서 압구 정 까지 다른 방법 알려줘,고속터미널역,압구정역,고속터미널역이,압구 정,all_noisy_station_surface,alternative_route,train
고속터미널 여기 에서 신림력 까지 막차 남았어,고속터미널역,신림역,고속터미널 여기,신림력,all_noisy_station_surface,last_train_check,train
홍데입구 에서 신림력 까지 가고 싶어요,홍대입구역,신림역,홍데입구,신림력,all_noisy_station_surface,route_search,train
아현력 에서 까치산 여기 까지 제일 쉬운 길 알려줘,아현역,까치산역,아현력,까치산 여기,all_noisy_station_surface,route_search,train
사당약 에서 서울약 까지 막차 남았어,사당역,서울역,사당약,서울약,all_noisy_station_surface,last_train_check,train
광화 문 출발 화곡에 도착 경로 알려줘,광화문역,화곡역,광화 문,화곡에,all_noisy_station_surface,route_search,train
숙대입구 출발 사울역 도착 경로 알려줘,숙대입구역,서울역,숙대입구,사울역,all_noisy_station_surface,route_search,train
종각 에서 을지로 입구역 까지 지하철 운행 중이야,종각역,을지로입구역,종각,을지로 입구역,all_noisy_station_surface,subway_availability_check,train
홍대입고 에서 숙대 입구 여기 까지 가는 길 알려줘,홍대입구역,숙대입구역,홍대입고,숙대 입구 여기,all_noisy_station_surface,route_search,train
서울 녁 에서 을지로 이꾸역 까지 어떻게 가나요,서울역,을지로입구역,서울 녁,을지로 이꾸역,all_noisy_station_surface,route_search,train
상수역이 에서 종로 3가 까지 가고 싶어요,상수역,종로3가역,상수역이,종로 3가,all_noisy_station_surface,route_search,train
종로3가력 에서 수유역이 까지 택시 말고 가는 방법 있어,종로3가역,수유역,종로3가력,수유역이,all_noisy_station_surface,alternative_route,train
서월역 에서 홍대입구력 까지 지하철 없으면 버스로 갈 수 있어요,서울역,홍대입구역,서월역,홍대입구력,all_noisy_station_surface,alternative_route,train
독립문에 출발 가락시장력 도착 경로 알려줘,독립문역,가락시장역,독립문에,가락시장력,all_noisy_station_surface,route_search,train
사울역 까지 가야 하는데 홍대 입구 여기 에서 어떻게 가요,홍대입구역,서울역,홍대 입구 여기,사울역,all_noisy_station_surface,route_search,train
둔촌 동 에서 출발해서 장지 역 까지 가고 싶어요,둔촌동역,장지역,둔촌 동,장지 역,all_noisy_station_surface,route_search,train
을지로입구 역 방향 막차 강동약 에서 탈 수 있나요,강동역,을지로입구역,강동약,을지로입구 역,all_noisy_station_surface,last_train_check,train
압구정에 에서 발산력 까지 제일 쉬운 길 알려줘,압구정역,발산역,압구정에,발산력,all_noisy_station_surface,route_search,train
홍데입구 에서 숙대입구역이 까지 어떻게 가나요,홍대입구역,숙대입구역,홍데입구,숙대입구역이,all_noisy_station_surface,route_search,train
사당약 에서 송파 역 까지 지하철 운행 중이야,사당역,송파역,사당약,송파 역,all_noisy_station_surface,subway_availability_check,train
올림픽 공원 에서 까치산역이 까지 마지막 지하철 있어,올림픽공원역,까치산역,올림픽 공원,까치산역이,all_noisy_station_surface,last_train_check,train
천호 여기 에서 구의 역 까지 막차 끊겼나요,천호역,구의역,천호 여기,구의 역,all_noisy_station_surface,last_train_check,train
신설동 에서 대림약 까지 지하철 없으면 버스로 갈 수 있어요,신설동역,대림역,신설동,대림약,all_noisy_station_surface,alternative_route,train
양재 출발 노량진에 도착 경로 알려줘,양재역,노량진역,양재,노량진에,all_noisy_station_surface,route_search,train
사당 에서 압구정약 까지 지금 지하철 탈 수 있어,사당역,압구정역,사당,압구정약,all_noisy_station_surface,subway_availability_check,train
고속터미널 에서 충정로 까지 어떻게 가나요,고속터미널역,충정로역,고속터미널,충정로,all_noisy_station_surface,route_search,train
천호에 에서 잠실새내 여기 까지 제일 쉬운 길 알려줘,천호역,잠실새내역,천호에,잠실새내 여기,all_noisy_station_surface,route_search,train
지금 강남에 에서 숙대입구역이 까지 막차 탈 수 있어,강남역,숙대입구역,강남에,숙대입구역이,all_noisy_station_surface,last_train_check,train
개봉 역 부터 녹사평약 까지 대중교통 알려줘,개봉역,녹사평역,개봉 역,녹사평약,all_noisy_station_surface,route_search,train
이데 까지 가야 하는데 까치산 에서 어떻게 가요,까치산역,이대역,까치산,이데,all_noisy_station_surface,route_search,train
대치 방향 막차 상수 에서 탈 수 있나요,상수역,대치역,상수,대치,all_noisy_station_surface,last_train_check,train
강남 역 에서 출발해서 숙대 입고 까지 가고 싶어요,강남역,숙대입구역,강남 역,숙대 입고,all_noisy_station_surface,route_search,train
김포공항 여기 에서 동대문력 까지 막차 남았어,김포공항역,동대문역,김포공항 여기,동대문력,all_noisy_station_surface,last_train_check,train
마곡역이 에서 송파 역 까지 가고 싶어요,마곡역,송파역,마곡역이,송파 역,all_noisy_station_surface,route_search,train
구파발 여기 방향 막차 압구정로데오역이 에서 탈 수 있나요,압구정로데오역,구파발역,압구정로데오역이,구파발 여기,all_noisy_station_surface,last_train_check,train
시청에 에서 숙대입구역이 까지 막차 남았어,시청역,숙대입구역,시청에,숙대입구역이,all_noisy_station_surface,last_train_check,train
신촌 역 에서 충무로약 까지 지하철 없으면 버스로 갈 수 있어요,신촌역,충무로역,신촌 역,충무로약,all_noisy_station_surface,alternative_route,train
혜화 출발 구로에 도착 경로 알려줘,혜화역,구로역,혜화,구로에,all_noisy_station_surface,route_search,train
숙데입구 에서 사울역 까지 택시 말고 가는 방법 있어,숙대입구역,서울역,숙데입구,사울역,all_noisy_station_surface,alternative_route,train
봉은사역이 에서 월드컵 경기장역 까지 가고 싶어요,봉은사역,월드컵경기장역,봉은사역이,월드컵 경기장역,all_noisy_station_surface,route_search,train
홍제 역 출발 광화문약 도착 경로 알려줘,홍제역,광화문역,홍제 역,광화문약,all_noisy_station_surface,route_search,train
양재약 에서 성수 역 까지 가고 싶어요,양재역,성수역,양재약,성수 역,all_noisy_station_surface,route_search,train
오금에 에서 문정에 까지 마지막 지하철 있어,오금역,문정역,오금에,문정에,all_noisy_station_surface,last_train_check,train
서월역 출발 숙대입고 도착 경로 알려줘,서울역,숙대입구역,서월역,숙대입고,all_noisy_station_surface,route_search,train
한강진 여기 에서 마포약 까지 지금 지하철 탈 수 있어,한강진역,마포역,한강진 여기,마포약,all_noisy_station_surface,subway_availability_check,train
신촌 에서 압구정에 까지 환승 적은 경로 알려줘,신촌역,압구정역,신촌,압구정에,all_noisy_station_surface,route_search,train
서울 여기 에서 홍데입구 까지 가고 싶어요,서울역,홍대입구역,서울 여기,홍데입구,all_noisy_station_surface,route_search,train
시청 출발 숙대입구 여기 도착 경로 알려줘,시청역,숙대입구역,시청,숙대입구 여기,all_noisy_station_surface,route_search,train
사울역 에서 숙대입구 여기 까지 막차 끊겼나요,서울역,숙대입구역,사울역,숙대입구 여기,all_noisy_station_surface,last_train_check,train
이태원 역 에서 왕십리에 까지 막차 끊겼으면 어떻게 가,이태원역,왕십리역,이태원 역,왕십리에,all_noisy_station_surface,alternative_route,train
동대 문 에서 무악재 까지 막차 남았어,동대문역,무악재역,동대 문,무악재,all_noisy_station_surface,last_train_check,train
서울에 에서 홍대 입고 까지 어떻게 가나요,서울역,홍대입구역,서울에,홍대 입고,all_noisy_station_surface,route_search,train
혜화 여기 에서 성수에 까지 막차 끊겼나요,혜화역,성수역,혜화 여기,성수에,all_noisy_station_surface,last_train_check,train
서울 출발 홍대입고 도착 경로 알려줘,서울역,홍대입구역,서울,홍대입고,all_noisy_station_surface,route_search,train
화곡약 방향 막차 이태원역이 에서 탈 수 있나요,이태원역,화곡역,이태원역이,화곡약,all_noisy_station_surface,last_train_check,train
한성대 입구역 에서 명동에 까지 지금 지하철 탈 수 있어,한성대입구역,명동역,한성대 입구역,명동에,all_noisy_station_surface,subway_availability_check,train
당산에 에서 대림역이 까지 지금 지하철 탈 수 있어,당산역,대림역,당산에,대림역이,all_noisy_station_surface,subway_availability_check,train
가산디지털 여기 에서 압구정약 까지 택시 말고 가는 방법 있어,가산디지털단지역,압구정역,가산디지털 여기,압구정약,all_noisy_station_surface,alternative_route,train
종각 여기 에서 방이 역 까지 가고 싶어요,종각역,방이역,종각 여기,방이 역,all_noisy_station_surface,route_search,train
서울 여기 에서 홍대입국역 까지 지하철 없으면 버스로 갈 수 있어요,서울역,홍대입구역,서울 여기,홍대입국역,all_noisy_station_surface,alternative_route,train
이촌역이 에서 애오개에 까지 환승 적은 경로 알려줘,이촌역,애오개역,이촌역이,애오개에,all_noisy_station_surface,route_search,train
압구 정 에서 연신내에 까지 가는 길 알려줘,압구정역,연신내역,압구 정,연신내에,all_noisy_station_surface,route_search,train
지금 사울약 에서 숙대 입고 여기 까지 막차 탈 수 있어,서울역,숙대입구역,사울약,숙대 입고 여기,all_noisy_station_surface,last_train_check,train
시청력 출발 숙대 입국역 도착 경로 알려줘,시청역,숙대입구역,시청력,숙대 입국역,all_noisy_station_surface,route_search,train
녹번역이 에서 선릉 역 까지 막차 끊겼으면 어떻게 가,녹번역,선릉역,녹번역이,선릉 역,all_noisy_station_surface,alternative_route,train
숙대입구 역 에서 서울력 까지 가는 길 알려줘,숙대입구역,서울역,숙대입구 역,서울력,all_noisy_station_surface,route_search,train
대림약 에서 건대입구약 까지 지하철 없으면 버스로 갈 수 있어요,대림역,건대입구역,대림약,건대입구약,all_noisy_station_surface,alternative_route,train
종합 운동장 에서 삼성력 까지 막차 남았어,종합운동장역,삼성역,종합 운동장,삼성력,all_noisy_station_surface,last_train_check,train
지금 석촌력 에서 양재 까지 막차 탈 수 있어,석촌역,양재역,석촌력,양재,all_noisy_station_surface,last_train_check,train
강남역이 에서 뚝섬 여기 까지 택시 말고 가는 방법 있어,강남역,뚝섬역,강남역이,뚝섬 여기,all_noisy_station_surface,alternative_route,train
홍대입구력 에서 숙대 입구역 까지 막차 끊겼나요,홍대입구역,숙대입구역,홍대입구력,숙대 입구역,all_noisy_station_surface,last_train_check,train
애오 개역 에서 종각 역 까지 지하철 운행 중이야,애오개역,종각역,애오 개역,종각 역,all_noisy_station_surface,subway_availability_check,train
홍대입국역 부터 숙대입구 까지 대중교통 알려줘,홍대입구역,숙대입구역,홍대입국역,숙대입구,all_noisy_station_surface,route_search,train
이대 에서 출발해서 노량진에 까지 가고 싶어요,이대역,노량진역,이대,노량진에,all_noisy_station_surface,route_search,train
독립문 역 에서 잠실약 까지 막차 끊겼으면 어떻게 가,독립문역,잠실역,독립문 역,잠실약,all_noisy_station_surface,alternative_route,train
구로력 까지 가야 하는데 신림역이 에서 어떻게 가요,신림역,구로역,신림역이,구로력,all_noisy_station_surface,route_search,train
디지털미디어시티 역 출발 학여울 여기 도착 경로 알려줘,디지털미디어시티역,학여울역,디지털미디어시티 역,학여울 여기,all_noisy_station_surface,route_search,train
고속터미널약 에서 교대약 까지 제일 쉬운 길 알려줘,고속터미널역,교대역,고속터미널약,교대약,all_noisy_station_surface,route_search,train
데치 출발 왕십 리역 도착 경로 알려줘,대치역,왕십리역,데치,왕십 리역,all_noisy_station_surface,route_search,train
지금 한강진에 에서 애오개역이 까지 막차 탈 수 있어,한강진역,애오개역,한강진에,애오개역이,all_noisy_station_surface,last_train_check,train
대림력 에서 을지로입구역이 까지 지금 지하철 탈 수 있어,대림역,을지로입구역,대림력,을지로입구역이,all_noisy_station_surface,subway_availability_check,train
신촌약 에서 잠실 까지 가고 싶어요,신촌역,잠실역,신촌약,잠실,all_noisy_station_surface,route_search,train
문정 역 에서 신림 역 까지 막차 남았어,문정역,신림역,문정 역,신림 역,all_noisy_station_surface,last_train_check,train
숙대입고 방향 막차 서울력 에서 탈 수 있나요,서울역,숙대입구역,서울력,숙대입고,all_noisy_station_surface,last_train_check,train
서월역 에서 숙대 이꾸역 까지 가는 길 알려줘,서울역,숙대입구역,서월역,숙대 이꾸역,all_noisy_station_surface,route_search,train
이대력 에서 선릉약 까지 가는 길 알려줘,이대역,선릉역,이대력,선릉약,all_noisy_station_surface,route_search,train
천호력 에서 출발해서 발산약 까지 가고 싶어요,천호역,발산역,천호력,발산약,all_noisy_station_surface,route_search,train
왕십리역이 에서 오금 까지 어떻게 가나요,왕십리역,오금역,왕십리역이,오금,all_noisy_station_surface,route_search,train
서울 에서 숙대 입고 까지 막차 남았어,서울역,숙대입구역,서울,숙대 입고,all_noisy_station_surface,last_train_check,train
연신내 여기 에서 공덕역이 까지 가고 싶어요,연신내역,공덕역,연신내 여기,공덕역이,all_noisy_station_surface,route_search,train
상봉 에서 출발해서 명동 여기 까지 가고 싶어요,상봉역,명동역,상봉,명동 여기,all_noisy_station_surface,route_search,train
가락시장 에서 이촌역이 까지 지하철 없으면 버스로 갈 수 있어요,가락시장역,이촌역,가락시장,이촌역이,all_noisy_station_surface,alternative_route,train
을지로 이꾸역 에서 서울에 까지 막차 끊겼으면 어떻게 가,을지로입구역,서울역,을지로 이꾸역,서울에,all_noisy_station_surface,alternative_route,train
서울대입구 여기 에서 천호 여기 까지 지하철 없으면 버스로 갈 수 있어요,서울대입구역,천호역,서울대입구 여기,천호 여기,all_noisy_station_surface,alternative_route,train
숙대입고역 에서 서울 녁 까지 마지막 지하철 있어,숙대입구역,서울역,숙대입고역,서울 녁,all_noisy_station_surface,last_train_check,train
강남력 에서 종로3가에 까지 지금 지하철 탈 수 있어,강남역,종로3가역,강남력,종로3가에,all_noisy_station_surface,subway_availability_check,train
잠실에 에서 매봉 까지 지금 지하철 탈 수 있어,잠실역,매봉역,잠실에,매봉,all_noisy_station_surface,subway_availability_check,train
서울약 에서 출발해서 숙대입구역이 까지 가고 싶어요,서울역,숙대입구역,서울약,숙대입구역이,all_noisy_station_surface,route_search,train
사당역이 에서 사울역 까지 가는 길 알려줘,사당역,서울역,사당역이,사울역,all_noisy_station_surface,route_search,train
지금 안국 여기 에서 서울대입구약 까지 막차 탈 수 있어,안국역,서울대입구역,안국 여기,서울대입구약,all_noisy_station_surface,last_train_check,train
압구정로데오에 에서 봉은사력 까지 어떻게 가나요,압구정로데오역,봉은사역,압구정로데오에,봉은사력,all_noisy_station_surface,route_search,train
구파발 에서 오금 까지 제일 쉬운 길 알려줘,구파발역,오금역,구파발,오금,all_noisy_station_surface,route_search,train
이대 역 까지 가야 하는데 아현역이 에서 어떻게 가요,아현역,이대역,아현역이,이대 역,all_noisy_station_surface,route_search,train
디지털미디어시티 에서 교대력 까지 어떻게 가나요,디지털미디어시티역,교대역,디지털미디어시티,교대력,all_noisy_station_surface,route_search,train
월드 컵경기장역 에서 발산 역 까지 가는 길 알려줘,월드컵경기장역,발산역,월드 컵경기장역,발산 역,all_noisy_station_surface,route_search,train
마곡 여기 에서 김포공항에 까지 지금 지하철 탈 수 있어,마곡역,김포공항역,마곡 여기,김포공항에,all_noisy_station_surface,subway_availability_check,train
까치산역이 에서 신촌약 까지 택시 말고 가는 방법 있어,까치산역,신촌역,까치산역이,신촌약,all_noisy_station_surface,alternative_route,train
동대문역사문화공원 여기 에서 안국에 까지 지하철 운행 중이야,동대문역사문화공원역,안국역,동대문역사문화공원 여기,안국에,all_noisy_station_surface,subway_availability_check,train
홍데입구 에서 숙대 입구역 까지 막차 끊겼으면 어떻게 가,홍대입구역,숙대입구역,홍데입구,숙대 입구역,all_noisy_station_surface,alternative_route,train
숙데입구 에서 공덕 여기 까지 지하철 운행 중이야,숙대입구역,공덕역,숙데입구,공덕 여기,all_noisy_station_surface,subway_availability_check,train
수서 에서 동대문역이 까지 다른 방법 알려줘,수서역,동대문역,수서,동대문역이,all_noisy_station_surface,alternative_route,train
노량진역이 에서 까치산력 까지 택시 말고 가는 방법 있어,노량진역,까치산역,노량진역이,까치산력,all_noisy_station_surface,alternative_route,train
서울 여기 까지 가야 하는데 을지로 입구 여기 에서 어떻게 가요,을지로입구역,서울역,을지로 입구 여기,서울 여기,all_noisy_station_surface,route_search,train
선릉약 에서 홍제 까지 제일 쉬운 길 알려줘,선릉역,홍제역,선릉약,홍제,all_noisy_station_surface,route_search,train
신도림약 에서 가산디지털단지약 까지 제일 쉬운 길 알려줘,신도림역,가산디지털단지역,신도림약,가산디지털단지약,all_noisy_station_surface,route_search,train
충무로 역 에서 목동 역 까지 어떻게 가나요,충무로역,목동역,충무로 역,목동 역,all_noisy_station_surface,route_search,train
